title,biography,status,department_name,advisors,researchers,sponsors
Data Science Analysis,Aimed at revolutionizing Cybersecurity with a focus on innovating for future applications.,Completed,Math,Charlie,John Hopfield,IBM
AI Development,Exploring the potential of Cybersecurity with a focus on addressing global challenges.,Completed,Biology,Charlie,Abhijit Banerjee,New York Life Insurance Company
AI Analysis,Exploring the potential of Cybersecurity with a focus on addressing global challenges.,Completed,Computer Science,Bob,Barack Obama,Morgan Stanley
Robotics Advancement,Exploring the potential of Robotics with a focus on solving real-world problems.,Pending,Computer Science,Charlie,Riccardo Giacconi,Wells Fargo
AI Development,Pioneering breakthroughs in AI with a focus on innovating for future applications.,In Progress,Math,Charlie,Denis Mukwege,Microsoft
Quantum Computing Analysis,Aimed at revolutionizing Robotics with a focus on innovating for future applications.,In Progress,Computer Science,Charlie,Richard Axel,Alphabet
Quantum Computing Analysis,Pioneering breakthroughs in Bioinformatics with a focus on innovating for future applications.,In Progress,Computer Science,Alice,Mo Yan,Goldman Sachs
Quantum Computing Optimization,A comprehensive study on AI with a focus on solving real-world problems.,Completed,Biology,Charlie,Angus Deaton,Merck & Co.
Cybersecurity Advancement,This project focuses on Cybersecurity with a focus on solving real-world problems.,In Progress,Biology,Alice,Jimmy Carter,Goldman Sachs
AI Advancement,A comprehensive study on AI with a focus on solving real-world problems.,Pending,Biology,Bob,William Nordhaus,Johnson & Johnson
